"CreatedTime","LastContentModifiedDate","Status","ArchiveStatus","ArchivedBy","ArchivedTime","BonusDiskQuota","ResourceUsageCurrent","ResourceUsageAverage","StorageUsageCurrent","LockIssue","WebsCount","CompatibilityLevel","DisableSharingForNonOwnersStatus","HubSiteId","IsHubSite","RelatedGroupId","GroupId","Url","LocaleId","LockState","Owner","StorageQuota","StorageQuotaWarningLevel","ResourceQuota","ResourceQuotaWarningLevel","Template","Title","AllowSelfServiceUpgrade","DenyAddAndCustomizePages","PWAEnabled","SharingCapability","SiteDefinedSharingCapability","SandboxedCodeActivationCapability","DisableCompanyWideSharingLinks","DisableAppViews","DisableFlows","AuthenticationContextName","StorageQuotaType","RestrictedToGeo","ShowPeoplePickerSuggestionsForGuestUsers","SharingDomainRestrictionMode","SharingAllowedDomainList","SharingBlockedDomainList","ConditionalAccessPolicy","AllowDownloadingNonWebViewableFiles","LimitedAccessFileType","AllowEditing","SensitivityLabel","CommentsOnSitePagesDisabled","SocialBarOnSitePagesDisabled","DefaultSharingLinkType","DefaultLinkPermission","DefaultLinkToExistingAccess","AnonymousLinkExpirationInDays","OverrideTenantAnonymousLinkExpirationPolicy","ExternalUserExpirationInDays","OverrideTenantExternalUserExpirationPolicy","SharingLockDownEnabled","SharingLockDownCanBeCleared","InformationSegment","InformationBarriersMode","BlockDownloadLinksFileType","OverrideBlockUserInfoVisibility","IsTeamsConnected","IsTeamsChannelConnected","TeamsChannelType","MediaTranscription","ExcludedBlockDownloadGroupIds","ExcludeBlockDownloadPolicySiteOwners","ReadOnlyForBlockDownloadPolicy","ExcludeBlockDownloadSharePointGroups","BlockDownloadPolicy","LoopDefaultSharingLinkScope","LoopDefaultSharingLinkRole","RequestFilesLinkEnabled","RequestFilesLinkExpirationInDays","OverrideSharingCapability","DefaultShareLinkScope","DefaultShareLinkRole","BlockGuestsAsSiteAdmin","ReadOnlyForUnmanagedDevices","RestrictedAccessControl","RestrictContentOrgWideSearch","AuthenticationContextLimitedAccess","RestrictedAccessControlGroups","ListsShowHeaderAndNavigation","EnableAutoExpirationVersionTrim","ExpireVersionsAfterDays","MajorVersionLimit","HidePeoplePreviewingFiles","HidePeopleWhoHaveListsOpen"
"05/08/2023 05:02:55","08/12/2024 10:42:15","Active","NotArchived","","01/01/0001 00:00:00","410837","0","0","7050",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://empresaxyz00.sharepoint.com/sites/WSOperacional","1033","Unlock","wanderson.silva@contactpoint.com.br","26214400","25574400","300","200","SITEPAGEPUBLISHING#0","W&S Operacional","True","Enabled","Disabled","ExternalUserSharingOnly","ExternalUserSharingOnly","Unknown","Unknown","Unknown","Unknown",,,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","False","0","False","0","False","False","False",,,"0","OrganizationDefault","False","False","None","Enabled","System.Guid[]","False","False","System.String[]","False","Anyone","None","False","0","False","Anyone","None","Unspecified","False","False","False","False",,"False",,,,"False","False"
"17/11/2024 02:11:40","29/11/2024 05:39:34","Active","NotArchived","","01/01/0001 00:00:00","0","0","0","9",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://empresaxyz00.sharepoint.com/sites/portaltivit","1046","Unlock","wanderson.silva@contactpoint.com.br","26214400","25574400","300","200","SITEPAGEPUBLISHING#0","Portal TIVIT","True","Enabled","Disabled","Disabled","Disabled","Unknown","Unknown","Unknown","Unknown",,,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","False","0","False","0","False","False","False",,,"0","OrganizationDefault","False","False","None","Enabled","System.Guid[]","False","False","System.String[]","False","Anyone","None","False","0","False","Anyone","None","Unspecified","False","False","False","False",,"False",,,,"False","False"
"11/07/2024 05:28:34","08/12/2024 20:51:17","Active","NotArchived","","01/01/0001 00:00:00","0","0","0","3",,"0","15",,"00000000-0000-0000-0000-000000000000","False","4635da4f-a6c7-4344-ac3a-1c564a70e35a","4635da4f-a6c7-4344-ac3a-1c564a70e35a","https://empresaxyz00.sharepoint.com/sites/TesteSitePblic","1046","Unlock","","26214400","25574400","300","200","GROUP#0","Teste Site Públic","True","Enabled","Disabled","ExternalUserSharingOnly","ExternalUserSharingOnly","Unknown","Unknown","Unknown","Unknown",,,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","False","0","False","0","False","False","False",,,"0","OrganizationDefault","False","False","None","Enabled","System.Guid[]","False","False","System.String[]","False","Anyone","None","False","0","False","Anyone","None","Unspecified","False","False","False","False",,"False",,,,"False","False"
"23/06/2024 07:13:50","02/12/2024 06:50:31","Active","NotArchived","","01/01/0001 00:00:00","0","0","0","2",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://empresaxyz00.sharepoint.com/sites/RepositoriobancosPowerApps","1046","Unlock","wanderson.silva@contactpoint.com.br","26214400","25574400","300","200","SITEPAGEPUBLISHING#0","Repositorio bancos Power Apps","True","Enabled","Disabled","ExternalUserSharingOnly","ExternalUserSharingOnly","Unknown","Unknown","Unknown","Unknown",,,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","False","0","False","0","False","False","False",,,"0","OrganizationDefault","False","False","None","Enabled","System.Guid[]","False","False","System.String[]","False","Anyone","None","False","0","False","Anyone","None","Unspecified","False","False","False","False",,"False",,,,"False","False"
"17/07/2023 22:02:10","29/11/2024 05:39:34","Active","NotArchived","","01/01/0001 00:00:00","0","0","0","80",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://empresaxyz00.sharepoint.com/","1033","Unlock","","26214400","25574400","300","255","SitePagePublishing#0","B2 Investimentos","True","Enabled","Disabled","ExternalUserAndGuestSharing","ExternalUserAndGuestSharing","Unknown","Unknown","Unknown","Unknown",,,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","False","0","False","0","False","False","False",,,"0","OrganizationDefault","False","False","None","Enabled","System.Guid[]","False","False","System.String[]","False","Anyone","None","False","0","False","Anyone","None","Unspecified","False","False","False","False",,"False",,,,"False","False"
"29/03/2024 01:59:36","29/11/2024 05:39:34","Active","NotArchived","","01/01/0001 00:00:00","0","0","0","29",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://empresaxyz00.sharepoint.com/sites/operaomcdonalds","1046","Unlock","wanderson.silva@contactpoint.com.br","26214400","25574400","300","200","SITEPAGEPUBLISHING#0","McDonald's - Operação Brasil","True","Enabled","Disabled","Disabled","Disabled","Unknown","Unknown","Unknown","Unknown",,,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","False","0","False","0","False","False","False",,,"0","OrganizationDefault","False","False","None","Enabled","System.Guid[]","False","False","System.String[]","False","Anyone","None","False","0","False","Anyone","None","Unspecified","False","False","False","False",,"False",,,,"False","False"
"26/05/2024 19:13:17","29/11/2024 05:39:34","Active","NotArchived","","01/01/0001 00:00:00","0","0","0","3",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://empresaxyz00.sharepoint.com/sites/sitemcdonalds","1046","Unlock","wanderson.silva@contactpoint.com.br","26214400","25574400","300","200","SITEPAGEPUBLISHING#0","|","True","Enabled","Disabled","ExternalUserAndGuestSharing","ExternalUserAndGuestSharing","Unknown","Unknown","Unknown","Unknown",,,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","False","0","False","0","False","False","False",,,"0","OrganizationDefault","False","False","None","Enabled","System.Guid[]","False","False","System.String[]","False","Anyone","None","False","0","False","Anyone","None","Unspecified","False","False","False","False",,"False",,,,"False","False"
"17/07/2023 22:03:10","16/11/2024 00:16:44","Active","NotArchived","","01/01/0001 00:00:00","0","0","0","1",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://empresaxyz00.sharepoint.com/search","1033","Unlock","","26214400","25574400","0","0","SRCHCEN#0","","True","Enabled","Disabled","Disabled","Disabled","Unknown","Unknown","Unknown","Unknown",,,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","False","0","False","0","False","False","False",,,"0","OrganizationDefault","False","False","None","Enabled","System.Guid[]","False","False","System.String[]","False","Anyone","None","False","0","False","Anyone","None","Unspecified","False","False","False","False",,"False",,,,"False","False"
"17/07/2023 22:02:09","08/12/2024 20:51:14","Active","NotArchived","","01/01/0001 00:00:00","0","0","0","1",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://empresaxyz00-my.sharepoint.com/","1033","Unlock","","26214400","25574400","0","0","SPSMSITEHOST#0","","True","Disabled","Disabled","Disabled","Disabled","Unknown","Unknown","Unknown","Unknown",,,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","False","0","False","0","False","False","False",,,"0","OrganizationDefault","False","False","None","Enabled","System.Guid[]","False","False","System.String[]","False","Anyone","None","False","0","False","Anyone","None","Unspecified","False","False","False","False",,"False",,,,"False","False"
"30/05/2024 06:29:05","29/11/2024 05:39:34","Active","NotArchived","","01/01/0001 00:00:00","55458","0","0","3",,"0","15",,"00000000-0000-0000-0000-000000000000","False","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","https://empresaxyz00.sharepoint.com/sites/wesdata","1046","Unlock","wanderson.silva@contactpoint.com.br","26214400","25574400","300","200","SITEPAGEPUBLISHING#0","W&S Data","True","Enabled","Disabled","ExternalUserAndGuestSharing","ExternalUserAndGuestSharing","Unknown","Unknown","Unknown","Unknown",,,"Unknown","False","None",,,"AllowFullAccess","False","OfficeOnlineFilesOnly","False",,"False","False","None","None","False","0","False","0","False","False","False",,,"0","OrganizationDefault","False","False","None","Enabled","System.Guid[]","False","False","System.String[]","False","Anyone","None","False","0","False","Anyone","None","Unspecified","False","False","False","False",,"False",,,,"False","False"
